1,abdicate,0,0,10
2,ablaze,0,0,10
3,abduct,0,0,10
4,abashed,0,0,10
5,abhor,0,0,10
6,abate,0,0,10
7,abhorrent,0,0,10
8,abolish,0,0,10
9,abide,0,0,10
10,abnormal,0,0,10
11,abortive,0,0,10
12,aborignal,0,0,10
13,abridge,0,0,10
14,ability,0,0,10
15,absolve,0,0,10
16,absorbing,0,0,10
17,abstain,0,0,10
18,abstinence,0,0,10
19,absolute,0,0,10
20,abstraction,0,0,10
21,abstruse,0,0,10
22,absurd,0,0,10
23,abundant,0,0,10
24,absorb,0,0,10
25,academic,0,0,10
26,accelerate,0,0,10
27,abstract,0,0,10
28,accentuate,0,0,10
29,accidental,0,0,10
30,acclaim,0,0,10
31,accommodate,0,0,10
32,accompany,0,0,10
33,abuse,0,0,10
34,accomplished,0,0,10
35,accomplice,0,0,10
36,access,0,0,10
37,accost,0,0,10
38,accredit,0,0,10
39,accumulate,0,0,10
40,accurate,0,0,10
41,accusation,0,0,10
42,accuse,0,0,10
43,accustom,0,0,10
44,acid,0,0,10
45,acquire,0,0,10
46,acquisitive,0,0,10
47,acquit,0,0,10
48,acrid,0,0,10
49,acrimonious,0,0,10
50,acrimony,0,0,10
51,account,0,0,10
52,acting,0,0,10
53,acknowledge,0,0,10
54,achieve,0,0,10
55,active,0,0,10
56,acumen,0,0,10
57,actual,0,0,10
58,acute,0,0,10
59,adage,0,0,10
60,adaptation,0,0,10
61,adaptable,0,0,10
62,action,0,0,10
63,addict,0,0,10
64,adapt,0,0,10
65,adept,0,0,10
66,addicted,0,0,10
67,adequate,0,0,10
68,adhere,0,0,10
69,adherence,0,0,10
70,adhesive,0,0,10
71,adjacent,0,0,10
72,adjoin,0,0,10
73,adjoining,0,0,10
74,adjourn,0,0,10
75,adjust,0,0,10
76,administer,0,0,10
77,administration,0,0,10
78,admirable,0,0,10
79,admire,0,0,10
80,admonish,0,0,10
81,admit,0,0,10
82,adopt,0,0,10
83,adore,0,0,10
84,adroit,0,0,10
85,adverse,0,0,10
86,adversity,0,0,10
87,advice,0,0,10
88,advisable,0,0,10
89,advocate,0,0,10
90,aesthetic,0,0,10
91,affable,0,0,10
92,affect,0,0,10
93,advance,0,0,10
94,affection,0,0,10
95,affectionate,0,0,10
96,affiliate,0,0,10
97,affinity,0,0,10
98,advise,0,0,10
99,afflict,0,0,10
100,affirm,0,0,10
101,afflicting,0,0,10
102,affluence,0,0,10
103,affluent,0,0,10
104,afford,0,0,10
105,age,0,0,10
106,aged,0,0,10
107,agenda,0,0,10
108,aggravate,0,0,10
109,aggression,0,0,10
110,aggressive,0,0,10
111,aghast,0,0,10
112,agile,0,0,10
113,agility,0,0,10
114,agitate,0,0,10
115,agonize,0,0,10
116,agrarian,0,0,10
117,agreeable,0,0,10
118,aggregate,0,0,10
119,aim,0,0,10
120,algebra,0,0,10
121,alert,0,0,10
122,alien,0,0,10
123,alienate,0,0,10
124,alkali,0,0,10
125,allegiance,0,0,10
126,allege,0,0,10
127,allegory,0,0,10
128,alleviate,0,0,10
129,alliance,0,0,10
130,allocate,0,0,10
131,allot,0,0,10
132,allude,0,0,10
133,allure,0,0,10
134,allusion,0,0,10
135,ally,0,0,10
136,alone,0,0,10
137,alter,0,0,10
138,alternate,0,0,10
139,alternative,0,0,10
140,altruism,0,0,10
141,aluminium,0,0,10
142,alumnus,0,0,10
143,amalgamate,0,0,10
144,amass,0,0,10
145,amateur,0,0,10
146,amazed,0,0,10
147,ambiguous,0,0,10
148,ambitious,0,0,10
149,amenable,0,0,10
150,amend,0,0,10
151,amiable,0,0,10
152,amicable,0,0,10
153,amount,0,0,10
154,ample,0,0,10
155,amplify,0,0,10
156,analogous,0,0,10
157,analogy,0,0,10
158,analysis,0,0,10
159,anecdote,0,0,10
160,angle,0,0,10
161,animated,0,0,10
162,anguish,0,0,10
163,annex,0,0,10
164,annihilate,0,0,10
165,annotate,0,0,10
166,announce,0,0,10
167,annoy,0,0,10
168,annul,0,0,10
169,annually,0,0,10
170,anomalous,0,0,10
171,anomaly,0,0,10
172,antagonism,0,0,10
173,anonymous,0,0,10
174,antagonist,0,0,10
175,anticipate,0,0,10
176,antique,0,0,10
177,antiquity,0,0,10
178,antiseptic,0,0,10
179,anxious,0,0,10
180,apathetic,0,0,10
181,aperture,0,0,10
182,apologize,0,0,10
183,apparel,0,0,10
184,apex,0,0,10
185,appeal,0,0,10
186,appear,0,0,10
187,applaud,0,0,10
188,applicant,0,0,10
189,application,0,0,10
190,appoint,0,0,10
191,appraise,0,0,10
192,appreciate,0,0,10
193,apprehension,0,0,10
194,apprehend,0,0,10
195,apprentice,0,0,10
196,appropriate,0,0,10
197,approve,0,0,10
198,approximate,0,0,10
199,apt,0,0,10
200,arable,0,0,10
201,aptitude,0,0,10
202,arbitrator,0,0,10
203,archaic,0,0,10
204,arbitration,0,0,10
205,ardent,0,0,10
206,ardor,0,0,10
207,arduous,0,0,10
208,arid,0,0,10
209,aristocrat,0,0,10
210,arithmetic,0,0,10
211,armament,0,0,10
212,aroma,0,0,10
213,armor,0,0,10
214,arouse,0,0,10
215,arrange,0,0,10
216,arrogance,0,0,10
217,array,0,0,10
218,arrogant,0,0,10
219,article,0,0,10
220,ascend,0,0,10
221,ascent,0,0,10
222,ascertain,0,0,10
223,ascetic,0,0,10
224,aspect,0,0,10
225,asperse,0,0,10
226,aspersion,0,0,10
