1,vt.正式放弃；让位 vi.退位；辞职,1
2,adj.着火的；闪耀的；激昂的,2
3,vt.诱拐；绑走,3
4,adj.羞愧的；局促不安的 动词abash的过去式和过去分词.,4
5,vt.憎恶；厌恶；痛恨,5
6,v.缓和；减弱；消除,6
7,adj.令人憎恶的,7
8,vt.废除；革除；消灭,8
9,v.遵守；忍受；坚持,9
10,adj.反常的；不正常的；变态的 n.不正常的人,10
11,adj.失败的；流产的；发育不全的,11
12,adj.原始的；土著的n.土著居民；土生生物,12
13,v.删节；缩短；限制,13
14,n.能力；才能,14
15,vt.宣告...无罪；赦免,15
16,adj.吸引人的；非常有趣的 动词absorb的现在分词.,16
17,v.戒绝；弃权；节制,17
18,n.节制；禁食；戒酒,18
19,adj.绝对的；确实的；专制的；完全的；独立的；无限制的 n.绝对的事物,19
20,n.抽象；抽象概念；心不在焉,20
21,adj.深奥的,21
22,adj.荒唐的；可笑的；不合理的 n.荒唐,22
23,adj.丰富的；充裕的,23
24,vt.吸收；吸引 ... 的注意；吞并；承受,24
25,adj.学院的；学术的；理论的 n.大学教师，大学生；学者，学究,25
26,v.加速；提前；跳级,26
27,adj.抽象的；理论的；抽象派的 n.摘要；抽象派艺术作品 v.(/?b?str?kt/)把…抽象出；提取；抽取；转移(注意力等)；做…的摘要；<婉>偷,27
28,v.重读；强调；突出,28
29,adj. 意外的； 偶然的； 附属的 n. 偶然； 不重要的东西； <音>变调的临时符号,29
30,n.喝采；欢呼；赞同 v.欢呼；喝采；称赞,30
31,vt.供给住宿；使适应；容纳；提供；顾及；调解 vi.适应；调节,31
32,vt.陪伴；伴随...发生；补充；给 ... 伴奏 vi.伴奏,32
33,n.滥用；恶习 vt.滥用；辱骂；虐待,33
34,adj.完成的；有成就的；娴熟的；有造诣的；有教养的 动词accomplish的过去式和过去分词.,34
35,n.共犯；同谋；帮凶,35
36,n.入口；通道 n.接近(的机会)；使用之权 vt.进入；(电脑)存取,36
37,v.搭话；搭讪,37
38,vt.归于；认为；授权；委派；鉴定合格,38
39,v.积累；增加；聚集,39
40,adj.准确的；精确的,40
41,n.控告；指控；非难,41
42,v.谴责；控告；指责,42
